APV                2              11               0               0
              94          -33.69           4.965
              95          -77.98           5.434
              96           50.21           5.231
              97           30.06           5.664
              98          -12.44           5.728
              99          -62.98           5.202
             100            55.8           5.057
             101           21.95           5.773
             102           3.744           5.488
             103          -54.21           5.221
             104           46.18            5.08
             105           1.582           5.472
             106          -28.37           5.875
             107           -69.1           5.362
             108           20.16           5.544
             109           6.482           5.454
             110          -28.76           5.576
             111          -94.96           5.837
             112           53.03           5.252
             113           32.92            5.03
             114          -9.261           4.822
             115          -51.32           5.126
             116           45.91           5.253
             117           29.71           4.953
             118          -17.34           4.932
             119          -56.28           5.249
             120           38.11           5.107
             121           12.94           4.918
             122          -32.14           5.013
             123          -69.25           5.382
             124           36.59           5.027
             125           8.486           4.688
             126          -44.09           5.074
             127          -118.7           6.169
APV                2              11               0               3
               0            -151           17.62
               1          -39.55           9.279
               2          -23.93           5.814
               3          -17.38            5.75
               4           32.73           6.563
               5            18.2           5.448
               6           2.541           4.904
               7          -15.56            6.03
               8           25.25           6.087
               9           9.155           5.167
              10          -12.13           5.264
              11          -8.969           5.988
              12           38.86           5.921
              13           9.999           5.138
              14          -5.048           5.057
              15          -14.02           6.222
              16           26.38            5.69
              17           21.16           5.142
              18          -6.571           4.806
              19          -15.24           5.099
              20           15.52           5.378
              21           24.61           5.096
              22          -20.92           5.066
              23          -20.49           5.145
              24            26.2           5.327
              25           26.19           5.106
              26          -9.204           5.012
              27          -20.95            5.35
              28           15.94           5.191
              29            7.68           4.883
              30          -8.925           4.954
              31          -23.87           5.368
              32           30.68           5.655
              33           18.61           5.853
              34           5.408           5.573
              35           4.842           8.877
              36           25.08           4.979
              37            17.7           5.845
              38           1.559           5.657
              39          -23.48           5.321
              40           22.65           5.394
              41            2.28           5.616
              42          -3.239           5.768
              43          -18.78           5.426
              44           26.09           5.224
              45           3.697           5.783
              46          -5.298           5.726
              47          -26.49           5.624
              48            30.9           5.828
              49            15.3           5.314
              50          -14.71           5.035
              51          -18.71           8.888
              52           23.04           5.698
              53           23.05           5.268
              54          -1.442           4.628
              55          -17.98           5.373
              56           33.19           5.551
              57           6.009           4.969
              58          -24.26           5.157
              59          -30.55           5.493
              60           13.47            5.34
              61           1.047           4.703
              62          -12.64           5.177
              63          -33.77            5.64
              64           10.68           6.534
              65           18.14           5.265
              66           5.169           4.951
              67          -15.17             5.9
              68           19.91           6.104
              69           10.93           5.192
              70          -20.12           5.245
              71          -17.55           5.983
              72           16.83           5.968
              73           1.338           4.844
              74          -10.09           5.168
              75           -20.4           6.158
              76           22.14           5.287
              77          -3.804           4.868
              78          -8.237           5.219
              79          -36.12           6.497
              80           14.94           5.449
              81           15.75           5.093
              82          -12.16           4.949
              83          -5.125           4.858
              84           24.22           5.319
              85           5.771           4.918
              86          -6.414           4.763
              87          -13.66           5.149
              88           22.89           5.231
              89           9.781            4.98
              90          -5.301           4.728
              91          -19.48             5.3
              92           16.96           5.153
              93          -12.62           4.988
              94          -4.985           4.766
              95          -38.46           5.519
              96           15.15           5.514
              97           23.99           5.982
              98           5.837           5.786
              99          -20.51           5.321
             100            20.7           5.454
             101           9.595           5.932
             102          -8.746           5.985
             103          -24.52           5.426
             104           19.24            5.45
             105           3.765           5.864
             106          -9.857           5.947
             107          -26.38           5.532
             108           21.85           5.847
             109           5.527           5.781
             110          -17.17           5.746
             111          -28.09           3.822
             112            27.9           5.656
             113           21.68           5.251
             114          -2.583           4.792
             115          -22.29           5.289
             116           23.85           5.608
             117           4.574           4.972
             118          -2.946           4.728
             119           -21.6           5.348
             120           25.55           5.456
             121          -1.368           4.765
             122          -17.91           5.115
             123          -28.48           5.395
             124           26.93           5.302
             125          -8.178           4.909
             126          -16.89           5.177
             127          -57.35           6.514
APV                2              11               0               4
               0          -49.71           28.83
               1           -5.52           28.16
               2          -30.28           23.28
               3          -31.91           22.29
               4           72.66           22.42
               5           47.09           26.82
               6          -7.647           24.51
               7           -50.7           23.44
               8            59.1           22.66
               9           26.09           27.53
              10          -30.84           23.53
              11          -61.87           25.08
              12           68.66           22.99
              13           11.83           58.05
              14           -44.4           26.63
              15           -70.3           32.04
              16           61.53           25.22
              17           50.29           28.51
              18          -2.313           22.13
              19          -34.89           22.74
              20           74.35           22.34
              21           47.31           26.86
              22          -15.74           22.51
              23          -65.96           22.93
              24           68.16           22.54
              25           15.03           27.61
              26          -48.06           23.56
              27          -71.73           24.43
              28           31.76           22.84
              29          -2.729           33.09
              30          -56.74           24.27
              31          -90.82           33.63
              32            60.9           25.45
              33           52.59           28.77
              34          -7.017           19.75
              35          -41.08            20.7
              36           69.96           22.68
              37           45.88           27.36
              38          -12.83           19.09
              39          -54.43           24.05
              40           66.32           22.69
              41           25.25           28.18
              42          -15.92           18.26
              43          -71.54           24.37
              44           59.79           23.21
              45           2.591            31.2
              46          -54.67           20.84
              47          -70.35           33.81
              48           58.16           25.77
              49            54.4           28.85
              50          -1.206           21.46
              51          -48.16           22.01
              52            81.3           22.37
              53            52.9           27.18
              54          -24.35           22.95
              55          -57.11           22.71
              56           72.06           22.71
              57           28.77           28.02
              58          -42.03           21.81
              59          -83.92           23.58
              60           62.87           23.23
              61         -0.1244           31.05
              62           -53.8           23.76
              63          -82.62              34
              64            59.3            25.7
              65           44.72           28.89
              66          -19.33           22.25
              67          -55.41           24.06
              68           61.59           22.51
              69           36.58           27.13
              70          -21.75           24.48
              71           -63.2           23.77
              72           52.75           22.73
              73           23.42           27.61
              74          -40.69           22.47
              75          -57.44           24.95
              76           51.41           23.08
              77           7.706           31.57
              78          -63.74           24.03
              79          -66.66           34.44
              80            58.9           25.62
              81           38.81            28.8
              82          -16.59           22.67
              83          -48.58           22.37
              84           81.06           22.31
              85           51.12           27.16
              86          -26.12           23.87
              87          -57.83           23.97
              88           64.23           22.58
              89           40.66           27.92
              90          -37.39           20.89
              91          -71.03           24.73
              92           47.79           23.21
              93           9.883           30.07
              94           -56.2            22.9
              95          -66.92            34.1
